NIK,TanggalPeriksa,NamaPenyakit,CatatanDokter
3201010101010001,15-01-2026,Hipertensi,Tekanan darah tinggi - resep obat amlodipine 5mg
3201010101010001,20-03-2026,Flu,Istirahat cukup dan minum obat paracetamol 500mg
3201010101010001,10-05-2026,Hipertensi,Kontrol rutin - tekanan darah stabil 130/85
3201010101010002,10-02-2026,Demam Berdarah,Rawat inap 3 hari - trombosit rendah 80.000
3201010101010002,25-04-2026,ISPA,Batuk pilek - resep ambroxol dan vitamin C
3201010101010003,05-03-2026,Gastritis,Nyeri lambung - resep antasida dan omeprazole
3201010101010004,05-04-2026,Diabetes Tipe 2,Kontrol gula darah 250mg/dL - diet rendah karbohidrat
3201010101010004,12-05-2026,Diabetes Tipe 2,Gula darah turun 180mg/dL - lanjutkan metformin
3201010101010005,18-02-2026,Asam Urat,Kadar asam urat 8.5 - resep allopurinol
3201010101010007,22-01-2026,Rematik,Nyeri sendi lutut - resep meloxicam dan fisioterapi
3201010101010007,15-04-2026,Hipertensi,Tekanan darah 150/95 - resep captopril 25mg
3201010101010009,01-03-2026,Kolesterol Tinggi,LDL 190mg/dL - resep simvastatin dan diet rendah lemak
1890,30-06,qwertyu,zxcvbn
1100,13-3-2005,anomali,GWS
3201010101010010,13-10-1883,anomali,jangan lupa makan
